title,rating,image,ratingCount,releaseDate,genres
The Hacker Wars (2014),6.5,"https://m.media-amazon.com/images/M/MV5BNzgwOTI0MjQwN15BMl5BanBnXkFtZTgwMjAwNzQ3MzE@._V1_UY268_CR4,0,182,268_AL_.jpg",884,17 October 2014 (USA),"Documentary,Crime"
Who Am I: Ningún sistema es seguro (2014),7.6,"https://m.media-amazon.com/images/M/MV5BNDg4NjU3MTYzNl5BMl5BanBnXkFtZTgwNzE2MDU2MjE@._V1_UY268_CR4,0,182,268_AL_.jpg","42,185",25 September 2014 (Germany),"Crime,Drama,Mystery"
